[title],[singer],[lyric_writer],[composer]
"君の知らない物語 
","supercell　
","ryo(supercell)　
","ryo(supercell)　
"
"騎士行進曲 
","ngel　
","tsuko　
","tsuko　
"
"only my railgun 
","fripSide　
","八木沼悟志　
","八木沼悟志　
"
"Paradise Lost 
","茅原実里　
","畑亜貴　
","菊田大介　
"
"シドニア 
","ngel　
","tsuko　
","tsuko　
"
"UNDERSHAFT 
","黒崎真音　
","黒崎真音　
","R・O・N　
"
"mind as Judgment 
","飛蘭　
","畑亜貴　
","上松範康　
"
"sister&#039;s noise 
","fripSide　
","八木沼悟志　
","八木沼悟志　
"
"LEVEL5-Judgeligt- 
","fripSide　
","fripSide　
","八木沼悟志　
"
"ナイショの話 
","ClriS　
","ryo(supercell)　
","ryo(supercell)　
"
