[title],[singer],[lyric_writer],[composer]
"地上の星 
","中島みゆき　
","中島みゆき　
","中島みゆき　
"
"会いたくて 会いたくて 
","西野カナ　
","西野カナ　
","GIORGIO CANCEMI　
"
"ミラクル 
","miw　
","miw　
","miw　
"
"君に出会えたから 
","miw　
","miw　
","miw　
"
"恋音と雨空 
","AAA　
","岡村洋佑　
","岡村洋佑　
"
"さよならの前に 
","AAA　
","森月キャス　
","丸山真由子　
"
"RPG 
","SEKAI NO OWARI　
","Sori(SEKAI NO OWARI)　
","Fukse(SEKAI NO OWARI)　
"
"Dragon Nigt 
","SEKAI NO OWARI　
","Fukse(SEKAI NO OWARI)　
","Fukse(SEKAI NO OWARI)　
"
"虹 
","福山雅治　
","福山雅治　
","福山雅治　
"
"桜坂 
","福山雅治　
","福山雅治　
","福山雅治　
"
"Everyday、カチューシャ 
","AKB48　
","秋元康　
","井上ヨシマサ　
"
"恋するフォーチュンクッキー 
","AKB48　
","秋元康　
","伊藤心太郎　
"
"ヘビーローテーション 
","AKB48　
","秋元康　
","山崎燿　
"
"雪の華 
","中島美嘉　
","Stomi　
","松本良喜　
"
"かたちあるもの 
","柴咲コウ　
","柴咲コウ　
","小松清人　
"
"I Wis For You 
","EXILE　
","MICHICO　
","T.Kur　
"
"道 
","EXILE　
","Shogo Kshid　
","miw furuse　
"
"Lovers Again 
","EXILE　
","Kiyoshi Mtsuo　
","Jin Nkmur　
"
"Happy Song 
","西野カナ　
","西野カナ　
","FAST LANE　
"
"Best Friend 
","西野カナ　
","西野カナ　
","GIORGIO CANCEMI　
"
