[title],[singer],[lyric_writer],[composer]
"夜桜お七 
","坂本冬美　
","林あまり　
","三木たかし　
"
"ウイスキーが、お好きでしょ 
","石川さゆり　
","田口俊　
","杉真理　
"
"津軽海峡・冬景色 
","石川さゆり　
","阿久悠　
","三木たかし　
"
"天城越え 
","石川さゆり　
","吉岡治　
","弦哲也　
"
"抱いて… 
","松田聖子　
","松本隆　
","Dvid Foster　
"
"赤いスイートピー 
","松田聖子　
","松本隆　
","呉田軽穂　
"
"渚のバルコニー 
","松田聖子　
","松本隆　
","呉田軽穂　
"
"DESIRE 
","中森明菜　
","阿木燿子　
","鈴木キサブロー　
"
"十戒(984) 
","中森明菜　
","売野雅勇　
","高中正義　
"
"聖母たちのララバイ 
","岩崎宏美　
","山川啓介　
","木森敏之　
"
"碧いうさぎ 
","酒井法子　
","牧穂エミ　
","織田哲郎　
"
"夢冒険 
","酒井法子　
","森浩美　
","西木栄二　
"
"水の星へ愛をこめて 
","森口博子　
","売野雅勇　
","Neil Sedk　
"
"愛しき日々 
","堀内孝雄　
","小椋佳　
","堀内孝雄　
"
"君のひとみは0000ボルト 
","堀内孝雄　
","谷村新司　
","堀内孝雄　
"
"きよしのズンドコ節 
","氷川きよし　
","松井由利夫　
","水森英夫　
"
"箱根八里の半次郎 
","氷川きよし　
","松井由利夫　
","水森英夫　
"
"秋桜 
","山口百恵　
","さだまさし　
","さだまさし　
"
"瑠璃色の地球 
","松田聖子　
","松本隆　
","平井夏美　
"
