[title],[singer],[lyric_writer],[composer]
"Case te world 
","My&#039;n　
","井上秋緒　
","浅倉大介　
"
"Burst Te Gravity 
","ALTIMA　
","黒崎真音　
","八木沼悟志　
"
"宇宙戦艦ヤマト 
","ささきいさお　
","阿久悠　
","宮川泰　
"
"irony 
","ClriS　
","kz　
","kz　
"
"Preserved Roses 
","T.M.Revolution　
","井上秋緒　
","浅倉大介　
"
"革命デュアリズム 
","水樹奈々×T.M.Revolution　
","Hibiki　
","上松範康　
"
"Catc You Catc Me 
","グミ　
","広瀬香美　
","広瀬香美　
"
"プラチナ 
","坂本真綾　
","岩里祐穂　
","菅野よう子　
"
"翔べ!ガンダム 
","池田鴻　
","井荻麟　
","渡辺岳夫　
"
"キン肉マンGo Figt! 
","串田アキラ　
","森雪之丞　
","芹澤廣明　
"
"ふわふわ時間 
","桜高軽音部　
","秋山澪　
","前澤寛之　
"
"Cagayake!GIRLS 
","桜高軽音部　
","大森祥子　
","Tom-H@ck　
"
"DAYS 
","FLOW　
","KEIGO HAYASHI　
","TAKESHI ASAKAWA　
"
"秘密基地 
","高田梢枝　
","高田梢枝　
","高田梢枝　
"
"葛飾ラプソディー 
","堂島孝平　
","森雪之丞　
","堂島孝平　
"
"残酷な天使のテーゼ 
","高橋洋子　
","及川眠子　
","佐藤英敏　
"
"冒険でしょでしょ? 
","平野綾　
","畑亜貴　
","冨田暁子　
"
"ハレ晴レユカイ 
","涼宮ハルヒ(平野綾)　
","畑亜貴　
","田代智一　
"
"君が好きだと叫びたい 
","BAAD　
","山田恭二　
","多々納好夫　
"
"タッチ 
","岩崎良美　
","康珍化　
","芹澤廣明　
"
