[title],[singer],[lyric_writer],[composer]
"純恋歌 
","湘南乃風　
","湘南乃風　
","湘南乃風　
"
"曖歌 
","湘南乃風　
","湘南乃風　
","湘南乃風　
"
"睡蓮花 
","湘南乃風　
","湘南乃風　
","MINMI　
"
"SLY 
","RIP SLYME　
","RYO-Z　
","DJ FUMIYA　
"
"JOINT 
","RIP SLYME　
","RIP SLYME　
","RIP SLYME　
"
"マタアイマショウ 
","SEAMO　
","Noki Tkd　
","Noki Tkd　
"
"Continue 
","SEAMO　
","Noki Tkd　
","Noki Tkd　
"
"出会いは成長の種 
","ケツメイシ　
","ケツメイシ　
","ケツメイシ　
"
"バラード 
","ケツメイシ　
","ケツメイシ　
","ケツメイシ　
"
"さくら 
","ケツメイシ　
","ケツメイシ　
","ケツメイシ　
"
"ココロオドル 
","nobodyknows+　
","nobodyknows+　
","nobodyknows+　
"
"ギフト 
","ET-KING　
","ET-KING　
","ET-KING　
"
"新恋愛 
","ET-KING　
","ET-KING　
","ET-KING　
"
"Lifetime Respect 
","三木道三　
","三木道三　
","三木道三　
"
"恋におちたら 
","Crystl Ky　
","H.U.B.　
","坂詰美紗子　
"
"こんなに近くで… 
","Crystl Ky　
","六ツ見純代　
","RYOSUKE&quot;DR.R&quot;SAKAI　
"
"for YOU。 
","ハジ→　
","ハジ→　
","ハジ→　
"
"春色。 
","ハジ→　
","ハジ→　
","ハジ→　
"
