DocID,LDocID,restaurant_id,restaurant_name
874473,874473,1.00001E+11,もんじゃ近どう 本店
874474,874474,1E+11,もんじゃ まぐろ家
874475,874475,1E+11,いろは本店
874476,874476,1E+11,おしお 和店
874477,874477,1E+11,もんじゃ 能登
874478,874478,1E+11,つくしや 十八番地
874479,874479,1E+11,もんじゃ 来る実
874480,874480,1E+11,もん吉 本店
874481,874481,1E+11,おかめ 本店
874482,874482,1E+11,もんじゃ つくしや
874483,874483,1.00001E+11,わらしべ
874484,874484,1E+11,もんじゃ麦 西仲店
874485,874485,1.00001E+11,もんじゃ信濃屋
874486,874486,1E+11,もんじゃ 蔵
874487,874487,1E+11,おしお 本店
874488,874488,1E+11,はざま
