DocID,LDocID,restaurant_id,restaurant_name
874502,874502,1.00E+11,もんじゃ近どう 本店
874503,874503,1.00E+11,もんじゃ まぐろ家
874504,874504,1.00E+11,いろは本店
874505,874505,1.00E+11,おしお 和店
874506,874506,1.00E+11,もんじゃ 能登
874507,874507,1.00E+11,つくしや 十八番地
874508,874508,1.00E+11,もんじゃ 来る実
874509,874509,1.00E+11,もん吉 本店
874510,874510,1.00E+11,おかめ 本店
874511,874511,1.00E+11,もんじゃ つくしや
874512,874512,1.00E+11,わらしべ
874513,874513,1.00E+11,もんじゃ麦 西仲店
874514,874514,1.00E+11,もんじゃ信濃屋
874515,874515,1.00E+11,もんじゃ 蔵
874516,874516,1.00E+11,おしお 本店
874517,874517,1.00E+11,はざま
