restaurant_id,restaurant_name,report_comment,,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,ちょっと隠れ家っぽいつけ麺屋さん（入口がわかりにくい）けっこう量があって味はまあまあ！,,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"入り口が最初分かりづらかったが、隠れ家的で ステキなお店！
つけ麺大盛 美味しかった",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"店の出入り口がわからなさすぎ！店前を3往復してしまいましたよ！0時頃行きましたが、飲んだあとのおっさんがたがたくさんいました！
",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"桜坂でつけ麺といったらココ?おすすめです！！
",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"最初入り口が分からずオロオロしましたが、中に入ると隠れ家のような雰囲気でした。
麺がとても美味しく、スープととても合います。
トッピングのゴーヤーもスープと絡むと苦味があまり気にならなかったので良かったです。
ただ、スープの油が多いので次からは油少な目でお願いしようと思いました。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,今夜も、着ちゃった3名で。那覇のつけ麺、美味しいからね。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,沖縄にも、美味しいつけ麺 有るんです。ゴーヤの付け合わせも、沖縄らしくて嬉しです。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"お腹が一杯でも、意地のつけ麺。 

旨くても、これ以上はご遠慮します。

お疲れ様でした。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"つけ麺屋さんで一番好きなお店！
普通盛りでもこのボリューム！
ゴーヤのトッピングがよくあいます。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"桜坂にある隠れ家的なお店。

深夜遅くまで開いてるので、よく飲みの〆に利用します。

店名にあるつけ麺はもちろん、ラーメンも美味い！

濃厚な味が好きな人はハマるかも！",,,,,,,,,,,,,,,,,,,,,,,
1E+11,つけ麺 サクラ,"桜坂というディープな立地と以前バーだった事から、隠れ家的な雰囲気が漂う個性的なラーメン店。

豚骨醤油+魚介系のWスープでつけ麺、ラーメン共に秀逸。
営業時間は月曜日から土曜日 までが18:00-4:00、日曜日は18:00-2:00までなので、遅くまで呑んで締めに使えるのもポイント高し。

つけ麺の動画 
http://www.youtube.com/watch?v=yFQ0yoIAFPw
#ラーメン #つけ麺 #デート #夜に来たい #那覇市内 #バースタイル #たまに限定麺あり #キャンペーン",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,魚菜,下北沢のお魚料理やさん。随分と長く続けられてるそうで、鰯が絶品です。脂ノリノリ。大トロみたい。,,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,魚菜,"しっぽりお酒を飲みたいとき
レトロな店内で暖かみのある雰囲気",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,魚菜,ちょっと立ち寄りのつもりが、美味しい肴に囲まれて、結構いっちゃいました。オヤジさん、おかあさんもいい味だしてて、リピーターになること間違いなし。,,,,,,,,,,,,,,,,,,,,,,,
