No	スコアHot5_len1000	スコアHot3_len1000	スコアHot3_len500	レストラン名	Text Char Count
1	4537	1014	733	吉祥寺カレー まめ蔵	1885
2	3927	830	974	鳥つね 自然洞	1685
3	2575	5065	4588	T.Y. HARBOR BREWERY	1481
4	2339	3834	4192	超ごってり麺ごっつ 新小岩店	880
5	1640	3584	4279	芋蔵 品川店	898
6	1367	906	642	おかめ 本店	1525
7	1213	1079	1218	もんじゃ麦 西仲店	1770
8	1185	1117	1276	もん吉 本店	1830
9	1130	795	652	もんじゃ まぐろ家	1874
10	1110	1095	893	いろは本店	1761
11	998	746	828	はざま	1661
12	994	789	875	もんじゃ 来る実	1013
13	955	1008	963	わらしべ	1301
14	898	985	1010	もんじゃ近どう 本店	1752
15	897	1030	1253	おしお 和店	1685
16	857	412	163	もんじゃ信濃屋	1672
17	836	1226	1494	もんじゃ 蔵	1627
18	744	1082	1447	おしお 本店	1583
19	671	492	836	もんじゃ つくしや	890
20	533	374	450	つくしや 十八番地	1702
21	496	256	243	もんじゃ 能登	1620
