"Training Data Name","Retty_月島もんじゃ_151119_3"
"Language Type","JapaneseAndEnglish"
"Morpheme Type","SingleAndCollocation"
"Hot Flag Threshold","945"
"Collocation Hot Flag Threshold","614"
"Process Count","Weight","Morpheme"
"1","0.649","注文"
"1","0.274","メニュー"
"1","0.264","ほう"
"1","0.264","アクセント"
"1","0.264","コク"
"1","0.264","コーヒー"
"1","0.264","チキン"
"1","0.264","レベル"
"1","0.264","一杯"
"1","0.264","九州"
"1","0.264","人気"
"1","0.264","今回"
"1","0.264","今度"
"1","0.264","品川"
"1","0.264","完成"
"1","0.264","心"
"1","0.264","必至"
"1","0.264","最近"
"1","0.264","本店"
"1","0.264","水"
"1","0.264","点"
"1","0.264","甘み"
"1","0.264","蔵"
"1","0.264","行列"
"1","0.264","邪魔"
"1","0.264","都内"
"1","0.264","鍋"
"1","0.264","開店"
"1","0.264","関東"
"1","0.264","食"
"1","0.218","今日"
"1","0.218","笑"
"1","0.184","そう"
"1","0.184","もの"
"1","0.184","スープ"
"1","0.123","ecut"
"1","0.123","guid"
"1","0.123","michelin"
"1","0.123","ok"
"1","0.123","tokyo"
"1","0.123","ty"
"1","0.123","ww"
"1","0.123","ありま"
"1","0.123","いずれ"
"1","0.123","いっと"
"1","0.123","おっちゃん"
"1","0.123","おでこ"
"1","0.123","お好み"
"1","0.123","お待ち"
"1","0.123","お薦め"
"1","0.123","お隣"
"1","0.123","かし"
"1","0.123","かぶり"
"1","0.123","がり"
"1","0.123","こだわり"
"1","0.123","こないだ"
"1","0.123","この頃"
"1","0.123","ご"
"1","0.123","ごと"
"1","0.123","さい"
"1","0.123","ししとう"
"1","0.123","しそう"
"1","0.123","すか"
"1","0.123","すし"
"1","0.123","せん"
"1","0.123","そぼろ"
"1","0.123","たまご"
"1","0.123","つね"
"1","0.123","とこ"
"1","0.123","ところ"
"1","0.123","どうし"
"1","0.123","どこ"
"1","0.123","どちら"
"1","0.123","どっち"
"1","0.123","なに"
"1","0.123","ひかり"
"1","0.123","ふっくら"
"1","0.123","べ"
"1","0.123","まめ"
"1","0.123","みそ"
"1","0.123","みちくさ"
"1","0.123","やつ"
"1","0.123","らん"
"1","0.123","わか"
"1","0.123","アイスティー"
"1","0.123","アウト"
"1","0.123","アップ"
"1","0.123","アボカド"
"1","0.123","アメリカン"
"1","0.123","アルコール"
"1","0.123","イイ"
"1","0.123","イートイン"
"1","0.123","イートインスペース"
"1","0.123","ウッディー"
"1","0.123","ウマ"
"1","0.123","ウリ"
"1","0.123","オニオン"
"1","0.123","オリ"
"1","0.123","オーダ"
"1","0.123","オーナー"
"1","0.123","カウント"
"1","0.123","カジュアル"
"1","0.123","カップ"
"1","0.123","カワイイ"
"1","0.123","ガ"
"1","0.123","キャラクター"
"1","0.123","クセ"
"1","0.123","クリーム"
"1","0.123","グルメ"
"1","0.123","グループ"
"1","0.123","コシヒカリ"
"1","0.123","コレクション"
"1","0.123","コーチン"
"1","0.123","ゴッテリ"
"1","0.123","ゴテゴテ"
"1","0.123","サツマイモ"
"1","0.123","サンドウィッチランチ"
"1","0.123","シ"
"1","0.123","シメ"
"1","0.123","シャンパン"
"1","0.123","シングル"
"1","0.123","シーザサラダ"
"1","0.123","シーン"
"1","0.123","ジャズ"
"1","0.123","ジャー"
"1","0.123","スゴ"
"1","0.123","スタンダード"
"1","0.123","スティック"
"1","0.123","ストライク"
"1","0.123","スパイシー"
"1","0.123","スプーン"
"1","0.123","スペシャル"
"1","0.123","スペッシャル"
"1","0.123","スペッシャルカレー"
"1","0.123","スライス"
"1","0.123","スリップ"
"1","0.123","センス"
"1","0.123","ゼッタイ"
"1","0.123","ソ"
"1","0.123","ゾーン"
"1","0.123","タイミング"
"1","0.123","タクシー"
"1","0.123","ダシ"
"1","0.123","チェーン"
"1","0.123","チリ"
"1","0.123","ツユ"
"1","0.123","テイ"
"1","0.123","テラス"
"1","0.123","デッカ"
"1","0.123","トマト"
"1","0.123","トロピカル"
"1","0.123","ドリンク"
"1","0.123","ナッシング"
"1","0.123","ネギ"
"1","0.123","ハチミツ"
"1","0.123","ハニーマヨネーズ"
"1","0.123","ハン"
"1","0.123","ハンバーガー"
"1","0.123","バランス"
"1","0.123","パスタ"
"1","0.123","パプリカ"
"1","0.123","パル"
"1","0.123","ビーフカレー"
"1","0.123","ピブグルマン"
"1","0.123","ピート"
"1","0.123","フレッシュ"
"1","0.123","ブル"
"1","0.123","ブロック"
"1","0.123","ベーカリー"
"1","0.123","ベース"
"1","0.123","ホント"
"1","0.123","ポテト"
"1","0.123","マジ"
"1","0.123","マーク"
"1","0.123","ミツバ"
"1","0.123","ミニ"
"1","0.123","ミルク"
"1","0.123","モチ"
"1","0.123","モツ"
"1","0.123","ライン"
"1","0.123","ラオ"
"1","0.123","ラッキー"
"1","0.123","ランチタイム"
"1","0.123","リー"
"1","0.123","ルー"
"1","0.123","ロング"
"1","0.123","ワタ"
